model,mean_input_tokens,mean_output_tokens,num_concurrent_requests,results_ttft_s_quantiles_p90,results_end_to_end_latency_s_quantiles_p90,results_mean_output_throughput_token_per_s,results_num_completed_requests_per_min
meta-llama/Llama-3.2-3B-Instruct,2048,256,1,0.8457825065939687,7.595657878904603,20.42602939433705,7.968542026399369
meta-llama/Llama-3.2-3B-Instruct,256,2048,64,1.020118673017714,279.31898960642286,645.5641926719502,12.723140414558717
meta-llama/Llama-3.2-3B-Instruct,512,2048,160,3.98217507887166,483.7742614678922,856.7617715652781,18.649873229465864
meta-llama/Llama-3.2-3B-Instruct,512,2048,50,1.620616152859294,271.62496302096406,468.1690314616344,10.242000920170428
meta-llama/Llama-3.2-3B-Instruct,2048,256,64,6.294170887465591,51.171000127797015,204.60841073330312,79.36005587813462
meta-llama/Llama-3.2-3B-Instruct,512,2048,128,3.2598222403670665,411.2735755474656,810.5472341659008,17.49525101358339
meta-llama/Llama-3.2-3B-Instruct,512,2048,1,0.26122041246853767,108.41065992970252,25.9121418624951,0.5640431402371594
meta-llama/Llama-3.2-3B-Instruct,256,2048,160,4.087261547159869,439.3632816634141,1044.2726489523725,20.25457364639632
meta-llama/Llama-3.2-3B-Instruct,256,2048,128,1.8195576002122835,376.06447510095313,965.1116847410918,18.911851705935717
meta-llama/Llama-3.2-3B-Instruct,2048,256,50,10.564930592710152,41.37555469409563,190.47388072515915,73.56381453653944
meta-llama/Llama-3.2-3B-Instruct,256,2048,50,0.9040307660237887,258.8912366344477,549.7956960261024,10.698197352466055
meta-llama/Llama-3.2-3B-Instruct,256,2048,100,1.5981241919449531,331.99097555585905,865.4843981360466,16.636481642086153
meta-llama/Llama-3.2-3B-Instruct,256,2048,1,0.2280334628885612,108.53607990579913,27.914090416174453,0.5676095248484994
