model,mean_input_tokens,mean_output_tokens,num_concurrent_requests,results_ttft_s_quantiles_p90,results_end_to_end_latency_s_quantiles_p90,results_mean_output_throughput_token_per_s,results_num_completed_requests_per_min
Qwen/Qwen2.5-1.5B-Instruct,2048,256,256,0.9702838790602982,11.816211536154151,168.49993835256365,67.3710268529246
Qwen/Qwen2.5-1.5B-Instruct,2048,256,1,0.5940198597498239,5.388551236130297,29.33262209242853,11.188539895395497
Qwen/Qwen2.5-1.5B-Instruct,2048,256,128,15.636362983239815,45.192917722649874,439.12546173323955,176.39619359537625
Qwen/Qwen2.5-1.5B-Instruct,256,2048,160,1.91710469997488,241.32545811207964,1525.4924140610924,36.47956128801651
Qwen/Qwen2.5-1.5B-Instruct,512,2048,128,2.9204682976007463,223.08256248054096,1352.3319576235026,31.91002632015904
Qwen/Qwen2.5-1.5B-Instruct,256,2048,100,1.3366429601795973,192.94519066028298,1199.4837758298613,28.975032721572894
Qwen/Qwen2.5-1.5B-Instruct,2048,2048,64,3.2483867559581996,203.45393163524568,726.759716291615,17.50772301741076
Qwen/Qwen2.5-1.5B-Instruct,2048,2048,50,3.009389785863461,185.75772976553998,644.0800085938668,14.914069705982332
Qwen/Qwen2.5-1.5B-Instruct,4096,256,50,6.536414127238096,35.181032995833085,213.85148129886423,84.09196821378292
Qwen/Qwen2.5-1.5B-Instruct,512,2048,50,0.8346139889676127,159.1561120830942,727.2138975639712,17.318382669659222
Qwen/Qwen2.5-1.5B-Instruct,4096,256,1,1.053151494031772,5.945419289777055,25.773607798186358,10.153752251419444
Qwen/Qwen2.5-1.5B-Instruct,512,2048,160,1.9800498450640596,259.61769339563324,1432.036810615452,34.47977039636556
Qwen/Qwen2.5-1.5B-Instruct,2048,256,64,5.948971344251193,26.40117407804355,372.75355723360656,147.70743398520722
Qwen/Qwen2.5-1.5B-Instruct,2048,256,50,4.506826034374535,22.30775883924216,335.36340633779554,133.95247097691146
Qwen/Qwen2.5-1.5B-Instruct,4096,256,64,13.114424030156806,44.00076047093607,224.47980221032,89.66396293701996
Qwen/Qwen2.5-1.5B-Instruct,4096,2048,1,1.0437842075247317,80.77265734514222,31.21942630561431,0.7701211110211975
Qwen/Qwen2.5-1.5B-Instruct,4096,256,100,3.3297974575776608,28.848447923269124,202.4536603567272,81.34371481935307
Qwen/Qwen2.5-1.5B-Instruct,256,2048,50,0.4332346191164117,153.7584737491794,751.1335555854823,17.926287505908316
Qwen/Qwen2.5-1.5B-Instruct,256,2048,64,0.6784846497233993,164.3854464257136,896.8220287936748,21.499165894014286
Qwen/Qwen2.5-1.5B-Instruct,4096,2048,64,6.838965358445421,252.42889517233706,594.076102369,14.320568447366021
Qwen/Qwen2.5-1.5B-Instruct,2048,256,100,10.140104294428603,37.56271122805774,417.635265502974,167.56461974267225
Qwen/Qwen2.5-1.5B-Instruct,256,2048,1,0.5315894534345716,75.84625082938001,35.151893127506376,0.8232614807956526
Qwen/Qwen2.5-1.5B-Instruct,256,2048,128,1.4799281992018225,209.8213240039535,1408.3068279038287,33.65225095139219
Qwen/Qwen2.5-1.5B-Instruct,4096,2048,100,2.0276347341481595,203.19758662399835,481.9871257948947,11.560745323287241
Qwen/Qwen2.5-1.5B-Instruct,512,2048,1,0.26587632969021796,76.89217520696111,33.38110155155013,0.8131485092334894
Qwen/Qwen2.5-1.5B-Instruct,512,2048,100,1.490381804201752,199.3326934209559,1155.4187272114884,27.767824801936275
Qwen/Qwen2.5-1.5B-Instruct,4096,2048,50,11.341982850711794,224.31902704946697,520.447193305673,12.600264216113985
Qwen/Qwen2.5-1.5B-Instruct,2048,256,160,7.99538549007848,55.8949555690866,455.2424709445911,182.20707181705924
Qwen/Qwen2.5-1.5B-Instruct,2048,2048,100,5.4922090693376955,252.97278380282222,928.8978836366524,22.205092998809597
Qwen/Qwen2.5-1.5B-Instruct,512,2048,64,0.9326959874946625,169.2057855699677,876.8339395757357,20.907865145473476
